ID,Species,Years,Decade,Detections,Mean occupancy,SD,SD breadth
21,Leptothorax acervorum,1960-1969,7,38,0.9772315,0.04402846,0.08805692
22,Myrmica lobicornis,1960-1969,7,8,0.6564295,0.2502828,0.5005656
23,Myrmica rubra,1960-1969,7,64,0.8271339,0.08042791,0.16085582
24,Myrmica ruginodis,1960-1969,7,48,0.8510484,0.07089904,0.14179808
25,Myrmica rugulosa,1960-1969,7,15,0.2856835,0.07685755,0.1537151
26,Myrmica sabuleti,1960-1969,7,8,0.5117834,0.2131328,0.4262656
27,Myrmica scabrinodis,1960-1969,7,28,0.7166926,0.09613556,0.19227112
28,Myrmica schencki,1960-1969,7,6,0.2615613,0.1021267,0.2042534
29,Tetramorium caespitum,1960-1969,7,34,0.7877005,0.1120068,0.2240136
1,Camponotus herculeanus,1970-1979,8,6,0.093596,0.03173006,0.06346012
2,Formica cinerea,1970-1979,8,9,0.1596972,0.03339575,0.0667915
3,Formica cunicularia,1970-1979,8,2,0.06078173,0.04264498,0.08528996
4,Formica exsecta,1970-1979,8,24,0.4143973,0.07617921,0.15235842
5,Formica fusca,1970-1979,8,92,0.9480312,0.03492701,0.06985402
6,Formica picea,1970-1979,8,28,0.4099668,0.08302701,0.16605402
7,Formica polyctena,1970-1979,8,8,0.1918042,0.1236579,0.2473158
8,Formica pratensis,1970-1979,8,15,0.2224219,0.04882528,0.09765056
9,Formica pressilabris,1970-1979,8,8,0.2906519,0.07160085,0.1432017
10,Formica rufa,1970-1979,8,82,0.8358434,0.06588319,0.13176638
11,Formica rufibarbis,1970-1979,8,16,0.3517398,0.1040046,0.2080092
12,Formica sanguinea,1970-1979,8,36,0.4192432,0.06586247,0.13172494
13,Formica truncorum,1970-1979,8,6,0.1623761,0.05121802,0.10243604
14,Formica uralensis,1970-1979,8,41,0.2671625,0.05922828,0.11845656
15,Formicoxenus nitidulus,1970-1979,8,2,0.1501888,0.07191731,0.14383462
16,Lasius flavus,1970-1979,8,31,0.9420488,0.08182349,0.16364698
17,Lasius fuliginosus,1970-1979,8,16,0.4297072,0.117067,0.234134
18,Lasius meridionalis,1970-1979,8,1,0.2285222,0.1424545,0.284909
